,PLAYER_ID,GP,MIN,FGM,FG_PCT,FG3M,FG3_PCT,FTM,FT_PCT,REB,AST,STL,BLK,PTS
90,201583,66,19.9,2.4,0.393,1.0,0.365,1.5,0.845,4.7,0.8,0.7,0.3,7.4
91,1000,65,16.4,2.3,0.462,0.4,0.511,1.0,0.687,2.8,0.8,0.4,0.1,5.9
92,335,81,33.8,7.9,0.498,0.0,0.19,2.8,0.775,5.1,4.6,1.9,0.8,18.6
93,76048,44,8.4,1.5,0.392,,,0.7,0.63,1.9,0.2,,,3.6
94,101149,6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0
95,76049,1,10.0,0.0,0.0,,,3.0,0.75,2.0,0.0,,,3.0
96,1628387,11,2.7,0.4,0.444,0.0,0.0,0.5,0.833,0.8,0.0,0.1,0.3,1.2
97,76050,72,17.0,3.2,0.497,0.0,0.0,2.3,0.722,5.0,0.6,0.3,0.2,8.7
98,1512,41,16.6,2.2,0.398,0.1,0.188,1.3,0.716,3.8,0.9,0.8,0.7,5.9
99,203507,77,24.6,2.2,0.414,0.5,0.347,1.8,0.683,4.4,1.9,0.8,0.8,6.8
100,203648,2,3.1,1.5,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0
101,2546,82,36.5,7.6,0.426,0.8,0.322,5.0,0.777,6.1,2.8,1.2,0.5,21.0
102,21,82,18.4,2.0,0.37,0.1,0.145,1.4,0.741,1.7,3.8,0.7,0.1,5.5
103,201202,24,20.8,1.2,0.467,0.0,0.0,1.2,0.592,3.9,0.1,0.4,1.3,3.5
104,203544,50,18.5,2.5,0.418,1.1,0.327,1.0,0.758,4.2,1.2,0.4,0.2,7.0
105,1628384,74,20.0,2.2,0.471,1.0,0.371,0.5,0.629,2.5,0.7,0.7,0.2,5.9
106,203951,5,5.4,0.4,0.25,0.0,0.0,0.4,1.0,0.2,0.2,0.2,0.0,1.2
107,2737,59,12.5,1.3,0.434,0.0,0.333,0.7,0.782,3.1,0.3,0.4,0.1,3.3
108,76053,7,15.7,3.1,0.393,,,0.9,0.462,4.6,0.6,,,7.1
109,76054,82,35.0,5.9,0.444,,,4.1,0.757,3.0,5.5,,,16.0
110,2425,12,6.0,0.5,0.3,0.0,0.0,0.6,0.389,1.4,0.3,0.0,0.3,1.6
111,1627853,24,12.7,0.7,0.415,0.4,0.29,0.2,0.833,1.0,1.5,0.5,0.0,2.0
112,76055,59,12.2,1.5,0.335,,,0.8,0.738,3.4,0.7,0.2,0.5,3.8
113,2240,47,24.6,3.7,0.453,0.8,0.345,2.6,0.775,2.8,3.7,1.5,0.2,10.9
114,2772,80,17.3,2.2,0.442,0.0,0.231,1.5,0.695,3.0,1.1,0.9,0.2,5.9
115,76056,65,,5.4,0.407,,,6.4,0.793,9.8,2.1,,,17.2
116,76057,9,9.4,1.6,0.326,0.0,0.0,0.7,0.75,1.4,0.9,0.3,0.4,3.8
117,769,81,15.9,2.3,0.485,0.0,0.5,0.9,0.885,1.3,2.5,0.6,0.1,5.6
118,76061,19,5.8,0.6,0.297,,,0.3,0.5,2.1,0.2,,,1.5
119,2220,35,5.6,0.8,0.318,0.1,0.294,0.1,0.5,0.5,0.2,0.2,0.0,1.8
120,353,3,2.7,1.0,0.375,0.7,0.333,0.7,1.0,0.3,1.0,0.3,0.0,3.3
121,200756,56,11.3,1.2,0.544,0.0,0.0,0.7,0.597,2.7,0.2,0.2,0.5,3.1
122,76060,52,,2.5,0.306,,,2.3,0.698,,2.0,,,7.3
123,76059,66,10.8,2.0,0.468,,,0.3,0.815,1.0,1.1,0.3,0.0,4.3
124,76062,31,13.2,1.7,0.317,,,1.4,0.623,5.5,0.6,,,4.7
